Index,Address,Match,Exact,Address_2,Coords,Coords_2,Coords_3,Coords_4,Coords_5,Coords_6,Coords_7,Lon,Lat,Analysis (Copper),Analysis (Lead),City,Copper (ppb),Date Submitted,Lead (ppb),Sample Number,Street #,Street Name,Zip Code
7,"1821 ADAMS AVE, FLINT, MI, 48505",Match,Exact,"1821 ADAMS AVE, FLINT, MI, 48505","-83.70323,43.032574",69567410.0,L,26.0,49.0,1100.0,4032.0,-83.70323,43.032574,Copper,Lead,FLINT,120.0,2016-04-01 12:04:35,5.0,LG31026,1821,ADAMS AVE,48505
8,"1902  ADAMS AVE, FLINT, MI, 48505",Match,Exact,"1902 ADAMS AVE, FLINT, MI, 48505","-83.70325,43.033424",69566957.0,R,26.0,49.0,1100.0,4007.0,-83.70325,43.033424,Copper,Lead,FLINT,0.0,2016-01-27 13:10:10,2.0,LG05008,1902 ,ADAMS AVE,48505
3641,"3506 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3506 CLAIRMONT ST, FLINT, MI, 48503","-83.732155,42.997486",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.732155,42.997486,Copper,Lead,FLINT,0.0,2016-03-31 16:01:39,0.0,LG30665,3506,CLAIRMONT ST,48503
4972,"1608 CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1608 CROMWELL AVE, FLINT, MI, 48503","-83.66882,43.02084",647468711.0,R,26.0,49.0,3000.0,1022.0,-83.66882,43.02084,Copper,Lead,FLINT,0.0,2016-03-22 12:29:24,0.0,LG26783,1608,CROMWELL AVE,48503
3643,"3509  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3509 CLAIRMONT ST, FLINT, MI, 48503","-83.73218,42.997475",69573589.0,L,26.0,49.0,3600.0,4020.0,-83.73218,42.997475,Copper,Lead,FLINT,140.0,2016-01-27 13:06:05,0.0,LG04870,3509 ,CLAIRMONT ST,48503
4974,"1611  CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1611 CROMWELL AVE, FLINT, MI, 48503","-83.6688,43.020863",647468711.0,L,26.0,49.0,3000.0,1022.0,-83.6688,43.020863,Copper,Lead,FLINT,0.0,2016-01-31 12:38:22,0.0,LG06553,1611 ,CROMWELL AVE,48503
3644,"3510 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3510 CLAIRMONT ST, FLINT, MI, 48503","-83.73219,42.997486",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.73219,42.997486,Copper,Lead,FLINT,120.0,2016-03-16 13:28:05,0.0,LG24640,3510,CLAIRMONT ST,48503
4975,"1616  CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1616 CROMWELL AVE, FLINT, MI, 48503","-83.6687,43.0209",647468711.0,R,26.0,49.0,3000.0,1022.0,-83.6687,43.0209,Copper,Lead,FLINT,0.0,2016-02-08 13:28:14,0.0,LG10839,1616 ,CROMWELL AVE,48503
3645,"3513  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3513 CLAIRMONT ST, FLINT, MI, 48503","-83.73221,42.997475",69573589.0,L,26.0,49.0,3600.0,4020.0,-83.73221,42.997475,Copper,Lead,FLINT,0.0,2016-02-24 08:00:32,25.0,LG17410,3513 ,CLAIRMONT ST,48503
4976,"1620 CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1620 CROMWELL AVE, FLINT, MI, 48503","-83.668655,43.020935",647468711.0,R,26.0,49.0,3000.0,1022.0,-83.668655,43.020935,Copper,Lead,FLINT,490.0,2016-03-23 11:30:20,6.0,LG27460,1620,CROMWELL AVE,48503
4977,"1628  CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1628 CROMWELL AVE, FLINT, MI, 48503","-83.66856,43.02101",647468711.0,R,26.0,49.0,3000.0,1022.0,-83.66856,43.02101,Copper,Lead,FLINT,80.0,2016-02-02 13:21:32,5.0,LG07497,1628 ,CROMWELL AVE,48503
2319,"3214  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3214 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.044724",69564552.0,R,26.0,49.0,900.0,2000.0,-83.727585,43.044724,Copper,Lead,FLINT,0.0,2016-01-28 13:40:36,0.0,LG05766,3214 ,BROWNELL BLVD,48504
3647,"3513 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3513 CLAIRMONT ST, FLINT, MI, 48503","-83.73221,42.997475",69573589.0,L,26.0,49.0,3600.0,4020.0,-83.73221,42.997475,Copper,Lead,FLINT,0.0,2016-03-16 09:28:30,4.0,LG24143,3513,CLAIRMONT ST,48503
2318,"3210 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3210 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.044693",69564552.0,R,26.0,49.0,900.0,2000.0,-83.727585,43.044693,Copper,Lead,FLINT,0.0,2016-03-18 12:40:47,0.0,LG25273,3210,BROWNELL BLVD,48504
4979,"1413  CRONK AVE, FLINT, MI, 48506",Match,Exact,"1413 CRONK AVE, FLINT, MI, 48506","-83.66595,43.02956",69569174.0,L,26.0,49.0,2600.0,3008.0,-83.66595,43.02956,Copper,Lead,FLINT,0.0,2016-01-24 12:13:31,0.0,LG03136,1413 ,CRONK AVE,48506
4990,"221  CROSBY ST, FLINT, MI, 48503",Match,Exact,"221 CROSBY ST, FLINT, MI, 48503","-83.70226,43.03003",69567424.0,L,26.0,49.0,1400.0,3006.0,-83.70226,43.03003,Copper,Lead,FLINT,70.0,2016-02-08 13:09:40,2.0,LG10832,221 ,CROSBY ST,48503
4991,"229  CROSBY ST, FLINT, MI, 48503",Match,Exact,"229 CROSBY ST, FLINT, MI, 48503","-83.702156,43.030033",69567424.0,L,26.0,49.0,1400.0,3006.0,-83.702156,43.030033,Copper,Lead,FLINT,0.0,2016-02-16 13:37:27,0.0,LG13981,229 ,CROSBY ST,48503
3661,"3521 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3521 CLAIRMONT ST, FLINT, MI, 48503","-83.732285,42.99747",69573589.0,L,26.0,49.0,3600.0,4020.0,-83.732285,42.99747,Copper,Lead,FLINT,0.0,2016-03-16 09:28:36,8.0,LG24149,3521,CLAIRMONT ST,48503
4992,"325 CROSBY ST, FLINT, MI, 48503",Match,Exact,"325 CROSBY ST, FLINT, MI, 48503","-83.70056,43.030205",69567459.0,L,26.0,49.0,1400.0,3004.0,-83.70056,43.030205,Copper,Lead,FLINT,290.0,2016-05-17 12:50:05,0.0,LG45466,325,CROSBY ST,48503
4993,"215  CROSS ST, FLINT, MI, 48503",Match,Non_Exact,"215 CROSS CT, FLINT, MI, 48503","-83.68265,43.00583",69575252.0,L,26.0,49.0,3800.0,1026.0,-83.68265,43.00583,Copper,Lead,FLINT,240.0,2016-02-01 13:27:05,0.0,LG06834,215 ,CROSS ST,48503
1000,"2422  BASSETT PL, FLINT, MI, 48504",Match,Exact,"2422 BASSETT PL, FLINT, MI, 48504","-83.72354,43.038406",69564784.0,R,26.0,49.0,900.0,4003.0,-83.72354,43.038406,Copper,Lead,FLINT,140.0,2015-10-01 11:10:35,0.0,LF85796,2422 ,BASSETT PL,48504
2331,"3609 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3609 BROWNELL BLVD, FLINT, MI, 48504","-83.72762,43.04762",69564451.0,L,26.0,49.0,700.0,4015.0,-83.72762,43.04762,Copper,Lead,FLINT,70.0,2016-06-02 13:42:58,0.0,LG49201,3609,BROWNELL BLVD,48504
2330,"3605 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3605 BROWNELL BLVD, FLINT, MI, 48504","-83.72762,43.047596",69564451.0,L,26.0,49.0,700.0,4015.0,-83.72762,43.047596,Copper,Lead,FLINT,50.0,2016-05-17 12:50:34,2.0,LG45493,3605,BROWNELL BLVD,48504
2325,"3602 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3602 BROWNELL BLVD, FLINT, MI, 48504","-83.72761,43.047585",69564451.0,R,26.0,49.0,700.0,4016.0,-83.72761,43.047585,Copper,Lead,FLINT,42830.0,2016-04-27 15:11:34,10306.0,LG39875,3602,BROWNELL BLVD,48504
2324,"3513 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3513 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.047054",69564451.0,L,26.0,49.0,700.0,4015.0,-83.727615,43.047054,Copper,Lead,FLINT,60.0,2016-05-17 12:49:19,1.0,LG45423,3513,BROWNELL BLVD,48504
2322,"3510 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3510 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.047043",69564451.0,R,26.0,49.0,700.0,4016.0,-83.7276,43.047043,Copper,Lead,FLINT,0.0,2016-05-17 12:49:21,0.0,LG45425,3510,BROWNELL BLVD,48504
2321,"3509 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3509 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.04703",69564451.0,L,26.0,49.0,700.0,4015.0,-83.727615,43.04703,Copper,Lead,FLINT,60.0,2016-05-17 12:50:36,0.0,LG45495,3509,BROWNELL BLVD,48504
4983,"2007  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2007 CROOKED LN, FLINT, MI, 48503","-83.72639,42.99366",69573767.0,L,26.0,49.0,3600.0,6018.0,-83.72639,42.99366,Copper,Lead,FLINT,150.0,2016-02-06 12:08:48,2.0,LG10268,2007 ,CROOKED LN,48503
3653,"3514  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3514 CLAIRMONT ST, FLINT, MI, 48503","-83.73223,42.997482",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.73223,42.997482,Copper,Lead,FLINT,60.0,2016-02-15 12:19:25,0.0,LG13421,3514 ,CLAIRMONT ST,48503
4984,"2020  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2020 CROOKED LN, FLINT, MI, 48503","-83.72626,42.993423",69573767.0,R,26.0,49.0,3600.0,6017.0,-83.72626,42.993423,Copper,Lead,FLINT,90.0,2015-11-18 14:32:32,4.0,LF92704,2020 ,CROOKED LN,48503
3654,"3514 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3514 CLAIRMONT ST, FLINT, MI, 48503","-83.73223,42.997482",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.73223,42.997482,Copper,Lead,FLINT,50.0,2016-03-07 15:32:42,0.0,LG20975,3514,CLAIRMONT ST,48503
4986,"2031  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2031 CROOKED LN, FLINT, MI, 48503","-83.726204,42.993244",69573767.0,L,26.0,49.0,3600.0,6018.0,-83.726204,42.993244,Copper,Lead,FLINT,90.0,2015-10-06 12:08:16,5.0,LF86517,2031 ,CROOKED LN,48503
4987,"2039  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2039 CROOKED LN, FLINT, MI, 48503","-83.726204,42.993095",69573767.0,L,26.0,49.0,3600.0,6018.0,-83.726204,42.993095,Copper,Lead,FLINT,130.0,2016-02-08 13:06:29,0.0,LG10730,2039 ,CROOKED LN,48503
4988,"2046  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2046 CROOKED LN, FLINT, MI, 48503","-83.726295,42.99296",69573767.0,R,26.0,49.0,3600.0,6017.0,-83.726295,42.99296,Copper,Lead,FLINT,90.0,2016-02-16 15:31:56,5.0,LG14326,2046 ,CROOKED LN,48503
3658,"3521  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3521 CLAIRMONT ST, FLINT, MI, 48503","-83.732285,42.99747",69573589.0,L,26.0,49.0,3600.0,4020.0,-83.732285,42.99747,Copper,Lead,FLINT,0.0,2016-02-20 12:46:42,7.0,LG16263,3521 ,CLAIRMONT ST,48503
4989,"2054  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2054 CROOKED LN, FLINT, MI, 48503","-83.726364,42.992825",69573767.0,R,26.0,49.0,3600.0,6017.0,-83.726364,42.992825,Copper,Lead,FLINT,180.0,2016-01-27 13:10:47,4.0,LG05040,2054 ,CROOKED LN,48503
3670,"3626  CLAIRMONT ST, FLINT, MI, 48532",Match,Exact,"3626 CLAIRMONT ST, FLINT, MI, 48532","-83.733574,42.997444",69573573.0,R,26.0,49.0,3600.0,3014.0,-83.733574,42.997444,Copper,Lead,FLINT,0.0,2016-01-31 12:37:56,0.0,LG06529,3626 ,CLAIRMONT ST,48532
3671,"3701  CLAIRMONT ST, FLINT, MI, 48532",Match,Exact,"3701 CLAIRMONT ST, FLINT, MI, 48532","-83.734276,42.997406",69573573.0,L,26.0,49.0,3600.0,3017.0,-83.734276,42.997406,Copper,Lead,FLINT,190.0,2016-02-08 13:07:56,0.0,LG10757,3701 ,CLAIRMONT ST,48532
3672,"3702  CLAIRMONT ST, FLINT, MI, 48532",Match,Exact,"3702 CLAIRMONT ST, FLINT, MI, 48532","-83.7343,42.997414",69573573.0,R,26.0,49.0,3600.0,3014.0,-83.7343,42.997414,Copper,Lead,FLINT,90.0,2016-02-04 13:14:39,1.0,LG09149,3702 ,CLAIRMONT ST,48532
3673,"3705  CLAIRMONT ST, FLINT, MI, 48532",Match,Exact,"3705 CLAIRMONT ST, FLINT, MI, 48532","-83.734314,42.997402",69573573.0,L,26.0,49.0,3600.0,3017.0,-83.734314,42.997402,Copper,Lead,FLINT,0.0,2016-01-19 16:18:34,0.0,LG00473,3705 ,CLAIRMONT ST,48532
1011,"1814  BAYBERRY LN, FLINT, MI, ",Match,Exact,"1814 BAYBERRY LN, FLINT, MI, 48507","-83.70488,42.990875",69574546.0,R,26.0,49.0,13500.0,2019.0,-83.70488,42.990875,Copper,Lead,FLINT,90.0,2016-01-26 12:19:13,9.0,LG04089,1814 ,BAYBERRY LN,
2342,"3813  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3813 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.049152",69564445.0,L,26.0,49.0,700.0,4004.0,-83.72763,43.049152,Copper,Lead,FLINT,0.0,2016-01-21 13:36:28,0.0,LG01298,3813 ,BROWNELL BLVD,48504
1010,"1801  BAYBERRY LN, FLINT, MI, 48507",Match,Exact,"1801 BAYBERRY LN, FLINT, MI, 48507","-83.70483,42.990795",69574546.0,L,26.0,49.0,13500.0,2017.0,-83.70483,42.990795,Copper,Lead,FLINT,90.0,2016-01-26 13:57:32,0.0,LG04566,1801 ,BAYBERRY LN,48507
2341,"3808 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3808 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.049126",69564445.0,R,26.0,49.0,700.0,4003.0,-83.727615,43.049126,Copper,Lead,FLINT,140.0,2016-03-09 12:46:11,0.0,LG21913,3808,BROWNELL BLVD,48504
2340,"3807  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3807 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.049114",69564445.0,L,26.0,49.0,700.0,4004.0,-83.72763,43.049114,Copper,Lead,FLINT,0.0,2016-01-28 13:39:02,15.0,LG05740,3807 ,BROWNELL BLVD,48504
1008,"1702  BAYBERRY LN, FLINT, MI, 48507",Match,Exact,"1702 BAYBERRY LN, FLINT, MI, 48507","-83.70415,42.990482",69574546.0,R,26.0,49.0,13500.0,2019.0,-83.70415,42.990482,Copper,Lead,FLINT,80.0,2016-02-02 13:27:02,0.0,LG07684,1702 ,BAYBERRY LN,48507
2339,"3802  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3802 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.04909",69564445.0,R,26.0,49.0,700.0,4003.0,-83.727615,43.04909,Copper,Lead,FLINT,0.0,2016-02-23 12:42:14,0.0,LG16851,3802 ,BROWNELL BLVD,48504
1007,"1701  BAYBERRY LN, FLINT, MI, 48507",Match,Exact,"1701 BAYBERRY LN, FLINT, MI, 48507","-83.70413,42.99047",69574546.0,L,26.0,49.0,13500.0,2017.0,-83.70413,42.99047,Copper,Lead,FLINT,100.0,2016-02-04 13:47:22,3.0,LG09495,1701 ,BAYBERRY LN,48507
